Record Time,1st trip from,1st trip to,1st trip cost,2nd trip from,2nd trip to,2nd trip cost,total cost
2022-05-28 14:38:45.283662,GRU,DTW,none,AMA,PAM,none,flights/airport not found
2022-05-28 14:39:26.528642,GRU,DTW,1187.0,AMA,PBI,1187.0,"$1,186.37"
2022-05-28 14:40:08.144985,GRU,DTW,1178.0,AMA,PDX,1178.0,"$1,177.37"
2022-05-28 14:40:14.536982,GRU,DTW,none,AMA,PHF,none,flights/airport not found
2022-05-28 14:40:56.375351,GRU,DTW,1411.0,AMA,PHL,1411.0,"$1,410.02"
2022-05-28 14:41:33.466275,GRU,DTW,1590.0,AMA,PHX,1590.0,"$1,589.84"
2022-05-28 14:42:16.309273,GRU,DTW,1038.0,AMA,PIA,1038.0,"$1,037.68"
2022-05-28 14:43:05.031016,GRU,DTW,1186.0,AMA,PIT,1186.0,"$1,185.55"
2022-05-28 14:44:00.458067,GRU,DTW,1200.0,AMA,PVD,3340.0,"$3,339.37"
2022-05-28 14:44:42.373152,GRU,DTW,1181.0,AMA,PWM,1181.0,"$1,180.18"
2022-05-28 14:45:25.699811,GRU,DTW,1034.0,AMA,RDU,1034.0,"$1,033.19"
2022-05-28 14:45:27.860790,GRU,DTW,none,AMA,RFD,none,flights/airport not found
2022-05-28 14:46:08.512893,GRU,DTW,1162.0,AMA,RIC,1162.0,"$1,161.25"
2022-05-28 14:46:10.433299,GRU,DTW,none,AMA,RND,none,flights/airport not found
2022-05-28 14:46:53.535064,GRU,DTW,1402.0,AMA,RNO,1402.0,"$1,401.28"
2022-05-28 14:47:51.389393,GRU,DTW,1192.0,AMA,ROA,1192.0,"$1,191.12"
2022-05-28 14:48:43.841622,GRU,DTW,1164.0,AMA,ROC,1164.0,"$1,163.14"
2022-05-28 14:48:50.615874,GRU,DTW,none,AMA,RST,none,flights/airport not found
2022-05-28 14:49:32.146534,GRU,DTW,1038.0,AMA,RSW,1038.0,"$1,037.02"
2022-05-28 14:50:14.967137,GRU,DTW,1393.0,AMA,SAN,1393.0,"$1,392.57"
2022-05-28 14:50:48.693896,GRU,DTW,1348.0,AMA,SAT,1348.0,"$1,347.66"
2022-05-28 14:51:32.575324,GRU,DTW,1024.0,AMA,SAV,1024.0,"$1,023.82"
2022-05-28 14:52:33.899125,GRU,DTW,1046.0,AMA,SBN,3470.0,"$1,045.40"
2022-05-28 14:53:18.435470,GRU,DTW,1027.0,AMA,SDF,1027.0,"$1,026.72"
2022-05-28 14:54:07.696108,GRU,DTW,1221.0,AMA,SEA,1221.0,"$1,220.23"
2022-05-28 14:54:09.548228,GRU,DTW,none,AMA,SFB,none,flights/airport not found
2022-05-28 14:54:58.394600,GRU,DTW,1200.0,AMA,SFO,1200.0,"$1,199.26"
2022-05-28 14:55:32.621455,GRU,DTW,3156.0,AMA,SGF,3156.0,"$3,155.35"
2022-05-28 14:56:11.833280,GRU,DTW,1466.0,AMA,SJC,1466.0,"$1,465.97"
2022-05-28 14:56:18.178350,GRU,DTW,none,AMA,SKA,none,flights/airport not found
2022-05-28 14:56:58.036353,GRU,DTW,1538.0,AMA,SLC,1538.0,"$1,537.89"
2022-05-28 14:57:38.475338,GRU,DTW,1461.0,AMA,SMF,1461.0,"$1,460.89"
2022-05-28 14:58:16.922391,GRU,DTW,1411.0,AMA,SNA,1411.0,"$1,410.15"
2022-05-28 14:59:05.580684,GRU,DTW,1059.0,AMA,SPI,1059.0,"$1,058.23"
2022-05-28 14:59:12.267448,GRU,DTW,none,AMA,SPS,none,flights/airport not found
2022-05-28 14:59:49.110819,GRU,DTW,1044.0,AMA,SRQ,1044.0,"$1,043.77"
2022-05-28 14:59:51.038621,GRU,DTW,none,AMA,SSC,none,flights/airport not found
2022-05-28 15:00:29.827736,GRU,DTW,1109.0,AMA,STL,1109.0,"$1,108.43"
2022-05-28 15:00:32.047628,GRU,DTW,none,AMA,SUS,none,flights/airport not found
2022-05-28 15:00:33.535752,GRU,DTW,none,AMA,SUU,none,flights/airport not found
2022-05-28 15:00:40.067165,GRU,DTW,none,AMA,SUX,none,flights/airport not found
2022-05-28 15:01:18.549061,GRU,DTW,1164.0,AMA,SYR,1164.0,"$1,163.22"
2022-05-28 15:01:20.622717,GRU,DTW,none,AMA,SZL,none,flights/airport not found
2022-05-28 15:01:22.148163,GRU,DTW,none,AMA,TCM,none,flights/airport not found
2022-05-28 15:01:52.268739,GRU,DTW,5025.0,AMA,TIK,5025.0,"$5,024.03"
2022-05-28 15:01:58.878185,GRU,DTW,none,AMA,TLH,none,flights/airport not found
2022-05-28 15:02:05.647248,GRU,DTW,none,AMA,TOL,none,flights/airport not found
2022-05-28 15:02:43.964032,GRU,DTW,1082.0,AMA,TPA,1082.0,"$1,081.40"
2022-05-28 15:02:50.622736,GRU,DTW,none,AMA,TRI,none,flights/airport not found
2022-05-28 15:03:24.610030,GRU,DTW,1451.0,AMA,TUL,1451.0,"$1,450.62"
2022-05-28 15:03:57.439275,GRU,DTW,1390.0,AMA,TUS,1390.0,"$1,389.74"
2022-05-28 15:04:38.708222,GRU,DTW,1057.0,AMA,TYS,1057.0,"$1,056.40"
2022-05-28 15:04:40.766045,GRU,DTW,none,AMA,VBG,none,flights/airport not found
2022-05-28 15:04:46.744183,GRU,DTW,none,AMA,VPS,none,flights/airport not found
2022-05-28 15:04:48.690910,GRU,DTW,none,AMA,WRB,none,flights/airport not found
2022-05-28 15:04:54.464999,GRU,DTW,none,AMA,FAI,none,flights/airport not found
2022-05-28 15:05:50.481931,GRU,DTW,3172.0,AMA,ANC,1476.0,"$1,475.64"
2022-05-28 15:06:28.616243,GRU,DTW,1584.0,AMA,HNL,1584.0,"$1,583.45"
2022-05-28 15:06:30.319483,GRU,DTW,none,AMA,5A8,none,flights/airport not found
2022-05-28 15:06:32.063748,GRU,DTW,none,AMA,79J,none,flights/airport not found
2022-05-28 15:07:27.305048,GRU,DTW,1173.0,AMA,ABE,3318.0,"$1,271.84"
2022-05-28 15:07:34.035448,GRU,DTW,none,AMA,ABI,none,flights/airport not found
2022-05-28 15:07:40.633990,GRU,DTW,none,AMA,ABR,none,flights/airport not found
2022-05-28 15:07:46.590445,GRU,DTW,none,AMA,ABY,none,flights/airport not found
2022-05-28 15:08:21.068392,GRU,DTW,3629.0,AMA,ACK,3629.0,"$3,628.62"
2022-05-28 15:08:27.740848,GRU,DTW,none,AMA,ACT,none,flights/airport not found
2022-05-28 15:09:08.156029,GRU,DTW,1463.0,AMA,ACV,1463.0,"$1,462.78"
2022-05-28 15:09:14.152677,GRU,DTW,none,AMA,ACY,none,flights/airport not found
2022-05-28 15:09:20.591400,GRU,DTW,none,AMA,AEX,none,flights/airport not found
2022-05-28 15:09:22.251021,GRU,DTW,none,AMA,AGC,none,flights/airport not found
2022-05-28 15:09:23.829555,GRU,DTW,none,AMA,AHN,none,flights/airport not found
2022-05-28 15:10:09.248702,GRU,DTW,1064.0,AMA,AKR,1064.0,"$1,063.98"
2022-05-28 15:10:57.473262,GRU,DTW,1164.0,AMA,ALB,1164.0,"$1,163.49"
2022-05-28 15:11:32.238829,GRU,DTW,4407.0,AMA,ALI,4407.0,"$4,406.02"
2022-05-28 15:12:12.052722,GRU,DTW,5612.0,AMA,ALM,5610.0,"$5,609.62"
2022-05-28 15:12:14.089359,GRU,DTW,none,AMA,ALN,none,flights/airport not found
2022-05-28 15:12:20.520998,GRU,DTW,none,AMA,ALO,none,flights/airport not found
2022-05-28 15:12:27.089720,GRU,DTW,none,AMA,ALS,none,flights/airport not found
2022-05-28 15:12:33.487814,GRU,DTW,none,AMA,ALW,none,flights/airport not found
2022-05-28 15:12:35.347385,GRU,DTW,none,AMA,ANB,none,flights/airport not found
